,CITY_NAME,ALT_CITY_NAMES,COUNTRY_NAME,COUNTRY_ISO,COUNTRY_ALT_NAME,COUNTRY_ALT_ISO,REGION_L1,REGION_L2,BBX_YMIN,BBX_XMIN,BBX_YMAX,BBX_XMAX,CENTRE_Y,CENTRE_X,POPULATION,BUILT_UP_KM2,QA_FLAG,UTC_TIMESHIFT,CITY-NAME_ISO
0,aba,Aba,Nigeria,nga,Nigeria,NGA,Africa,Western Africa,5.01681773377,7.30160638671,5.17881711314,7.41186202127,5.10886858483,7.35086200977,1195860.04123,35.5093193054,1,1.0,aba_nga
1,abbottabad,Abbottabad,Pakistan,pak,Pakistan,PAK,Asia,South-Central Asia,34.1186851861,73.1835425207,34.2925415535,73.2902506882,34.1908674722,73.2326680573,960783.03125,11.6721057892,1,5.0,abbottabad_pak
2,abeokuta,Abeokuta,Nigeria,nga,Nigeria,NGA,Africa,Western Africa,7.09985945072,3.25835568065,7.23776390808,3.45917380386,7.16259047757,3.34404518276,695718.461304,82.1909866333,1,1.0,abeokuta_nga
3,abidjan,Abidjan; Abobo; Yopougon; Cocody; Koumassi; Port-Bouët; Adjamé; Marcory; Attécoubé; Anyama; Le Plateau; Treichville,Côte d'Ivoire,civ,Côte d'Ivoire,CIV,Africa,Western Africa,5.23552062699,-4.14193483311,5.5109661047,-3.86136711397,5.34956326151,-4.00269599617,4551850.27316,230.892303467,1,0.0,abidjan_civ
4,abu-dhabi,Abu Dhabi,United Arab Emirates,are,United Arab Emirates,ARE,Asia,Western Asia,24.3010853358,54.3018172203,24.5357832586,54.5459714339,24.4201513173,54.4360668626,787746.212494,95.9641189575,1,4.0,abu-dhabi_are
5,abuja,Abuja,Nigeria,nga,Nigeria,NGA,Africa,Western Africa,8.94271929082,7.29102007647,9.18652019434,7.54148335756,9.06189891144,7.43349518867,1450169.06731,135.147888184,1,1.0,abuja_nga
6,acapulco,Acapulco,Mexico,mex,Mexico,MEX,Latin America and the Caribbean,Central America,16.7934189494,-99.9723790868,16.9414658373,-99.790506917,16.8676993548,-99.8617477852,749405.720142,65.0825576782,1,-7.0,acapulco_mex
7,accra,Accra; Ashaiman; Tema,Ghana,gha,Ghana,GHA,Africa,Western Africa,5.46235459361,-0.490322728936,5.76215015913,0.0500397810115,5.62108507064,-0.215586874558,4412617.47175,494.896209717,1,0.0,accra_gha
8,ad-daein,Ad Da'ein,Sudan,sdn,Sudan,SDN,Africa,Northern Africa,11.4327297914,26.1053235485,11.4897817514,26.1659396248,11.462822584,26.1343226355,560072.633301,8.04245376587,1,3.0,ad-daein_sdn
9,ad-diwaniyah,Ad Diwaniyah,Iraq,irq,Iraq,IRQ,Asia,Western Asia,31.9564994113,44.8545106319,32.0339960244,44.981861481,31.9908663269,44.9201336421,1017084.61459,13.7697572708,1,3.0,ad-diwaniyah_irq
